 ,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0,1853.00000,1257.00000,1853.00000,1257.00000,1.12838,1.12838,0,0.00000,0,0,1853.00000,1257.00000,0,0,0.00000,0.00000,NaN
2,0,2500.50000,1060.50000,2500.50000,1060.50000,1.12838,1.12838,0,0.00000,0,0,2500.50000,1060.50000,0,0,0.00000,0.00000,NaN
3,0,2036.50000,1883.50000,2036.50000,1883.50000,1.12838,1.12838,0,0.00000,0,0,2036.50000,1883.50000,0,0,0.00000,0.00000,NaN
4,0,2244.50000,1843.50000,2244.50000,1843.50000,1.12838,1.12838,0,0.00000,0,0,2244.50000,1843.50000,0,0,0.00000,0.00000,NaN
5,0,2687.50000,1730.50000,2687.50000,1730.50000,1.12838,1.12838,0,0.00000,0,0,2687.50000,1730.50000,0,0,0.00000,0.00000,NaN
